threshold,coverage,micro_f1
0.1,0.8982678031344514,0.6019124308002013
0.11836734693877551,0.8982678031344514,0.6019124308002013
0.13673469387755102,0.8982678031344514,0.6019124308002013
0.15510204081632656,0.8982678031344514,0.6019124308002013
0.17346938775510207,0.8982678031344514,0.6019124308002013
0.19183673469387758,0.8982678031344514,0.6019124308002013
0.21020408163265308,0.8982678031344514,0.6019124308002013
0.2285714285714286,0.8982678031344514,0.6019124308002013
0.2469387755102041,0.8982678031344514,0.6019124308002013
0.2653061224489796,0.8982678031344514,0.6019124308002013
0.2836734693877551,0.8982678031344514,0.6019124308002013
0.3020408163265306,0.8982678031344514,0.6019124308002013
0.3204081632653062,0.8982678031344514,0.6019124308002013
0.3387755102040817,0.8982678031344514,0.6019124308002013
0.3571428571428572,0.8982678031344514,0.6019124308002013
0.3755102040816327,0.8982678031344514,0.6019124308002013
0.3938775510204082,0.8982678031344514,0.6019124308002013
0.41224489795918373,0.8982678031344514,0.6019124308002013
0.43061224489795924,0.8982678031344514,0.6019124308002013
0.44897959183673475,0.8982678031344514,0.6019124308002013
0.46734693877551026,0.8982678031344514,0.6019124308002013
0.48571428571428577,0.8982678031344514,0.6019124308002013
0.5040816326530613,0.8427275226835304,0.6048841577958672
0.5224489795918368,0.8427275226835304,0.6048841577958672
0.5408163265306123,0.8427275226835304,0.6048841577958672
0.5591836734693878,0.7841627715149849,0.6089638554216867
0.5775510204081633,0.7841627715149849,0.6089638554216867
0.5959183673469388,0.7841627715149849,0.6089638554216867
0.6142857142857143,0.7187242232609293,0.6166332876567935
0.6326530612244898,0.7187242232609293,0.6166332876567935
0.6510204081632653,0.6565850976079186,0.6191413030899201
0.6693877551020408,0.6565850976079186,0.6191413030899201
0.6877551020408164,0.6565850976079186,0.6191413030899201
0.7061224489795919,0.5922463568875447,0.6223253415828822
0.7244897959183674,0.5922463568875447,0.6223253415828822
0.7428571428571429,0.5922463568875447,0.6223253415828822
0.7612244897959184,0.528732471817432,0.6308026030368764
0.7795918367346939,0.528732471817432,0.6308026030368764
0.7979591836734694,0.528732471817432,0.6308026030368764
0.8163265306122449,0.4608193566125928,0.6378737541528239
0.8346938775510204,0.4608193566125928,0.6378737541528239
0.8530612244897959,0.3827330217211988,0.6429861529199278
0.8714285714285714,0.3827330217211988,0.6429861529199278
0.889795918367347,0.3827330217211988,0.6429861529199278
0.9081632653061225,0.29502337091009073,0.6477838971938107
0.926530612244898,0.29502337091009073,0.6477838971938107
0.9448979591836735,0.29502337091009073,0.6477838971938107
0.963265306122449,0.19686554852900742,0.6658739595719382
0.9816326530612246,0.19686554852900742,0.6658739595719382
1.0,0.19686554852900742,0.6658739595719382
